participant_label,treatment,stratum,peer_id
9MDQPP,1,1,
EJUNUD,1,1,
ZXV53D,1,1,
8XFZPP,1,1,
CRSX97,1,1,
81YB4L,1,1,
184KLZ,1,1,
R6M8WS,1,1,
CP1KHT,1,1,
RKXLWQ,1,1,
DYGPQW,1,1,
81BSAG,1,1,
P8NAJZ,1,1,
YZCGRB,1,1,
7E7US7,1,1,
C528HJ,1,1,
82PE8N,1,1,
J8BVQQ,1,1,
QPY8PH,1,1,
8BD7C2,1,1,
19ZE81,1,1,
PQJ1CB,1,1,
8ZHAV4,1,1,
9BBJDD,1,1,
5DVV9T,1,1,
5NE4P3,1,1,
MP8MED,1,1,
KATPF8,1,1,
Q5HM4H,1,1,
H4LYGE,1,1,
PZYRR4,1,1,
LA75C8,1,1,
X8HSPC,1,1,
61BNR9,1,1,
STTNWW,1,1,
7SGJ1P,1,1,
A4CD71,1,1,
7NJXW8,1,1,
SCYE74,1,1,
RACK5Q,1,1,
3KJ6HK,1,1,
NTZB79,1,1,
BDQRLG,1,1,
ZVCN56,1,1,
4LNJY4,1,1,
NCB6HQ,1,1,
MJ9511,1,1,
AP4V7K,1,1,
CSETZE,1,1,
26GB26,1,1,
RDF9KT,1,1,
1589Z4,1,1,
TD43AP,1,1,
4ZCMSN,1,1,
GNBCZ9,1,1,
YJ1NJF,1,1,
83F7RL,1,1,
74QGSM,1,1,
ZWK41J,1,1,
LWYMFQ,1,1,
HDM86Z,1,1,
DB7FCJ,1,1,
ZJ1TY1,1,1,
QW19U6,1,1,
PNLFGT,1,1,
TKAQE3,1,1,
A3MSFW,1,1,
2R7VQB,1,1,
YEJZUD,1,1,
51D4JP,1,1,
1TMCP9,1,1,
H9HM5K,1,1,
ZVLN47,1,1,
MGCNZJ,1,1,
FRTJ3A,1,1,
KC961Q,1,1,
DZK8KE,1,1,
QTSFA4,1,1,
NABXZX,1,1,
KF9E9K,1,1,
2ZKWRL,1,1,
U5AVN5,1,1,
LY66TQ,1,1,
ZTBRBX,1,1,
TJAHNG,1,1,
6UU7RJ,1,1,
BNSGZT,1,1,
UXA4N9,1,1,
5952H1,1,1,
44SMN4,1,1,
CAV5L9,1,1,
FX2YM3,1,1,
UKENK8,1,1,
M3ALJT,1,1,
Y6788K,1,1,
BU4866,1,1,
M4SM94,1,1,
85PNSP,1,1,
4W4VZR,1,1,
QU4LFM,1,1,
ABQ4WV,1,1,
CYHLEA,1,1,
1BXZWF,1,1,
XX66TP,1,1,
4A8863,1,1,
WUUUSU,1,1,
9K9M4X,1,1,
1MY9XM,1,1,
P33FWM,1,1,
XH6ZNU,1,1,
FXCKFC,1,1,
NYN1LH,1,1,
H1LVFA,1,1,
F828PM,1,1,
QVJSFH,1,1,
JHPDD7,1,1,
TUSJXN,1,1,
J2TR65,1,1,
6L9EUE,1,1,
DNZ3ZR,1,1,
1VVYGZ,1,1,
87F64W,1,1,
G7E9ZF,1,1,
ZSNUAJ,1,1,
KUEGPB,1,1,
QUEHC9,1,1,
CDCFM7,1,1,
6W2P2F,1,1,
ZQUYC7,1,1,
R67CYF,1,1,
37VG1K,1,1,
FTMMGV,1,1,
LLZT5G,1,1,
8P19RX,1,1,
M7ZM2X,1,1,
4MEV3L,1,1,
AXCMFW,1,1,
NG72PC,1,1,
6YMT78,1,1,
76GFSC,1,1,
3SYBFR,1,1,
K79XJ2,1,1,
PG54DF,1,1,
7DWKCQ,1,1,
YSUG5J,1,1,
WXNYVT,1,1,
3ERY98,1,1,
AZRA3Q,1,1,
26DLMD,1,1,
NT2HVV,1,1,
DD9UHY,1,1,
Y5HZ5L,1,1,
W7RF4S,1,1,
U2UJ7T,1,1,
MQGTYE,1,1,
V3M157,1,1,
UTK43K,1,1,
MP7KYX,1,1,
P8USAF,1,1,
82UGNE,1,1,
PSUF91,1,1,
8UKN8L,1,1,
3S9FC6,1,1,
DPAEU4,1,1,
YGX58S,1,1,
QAHZNM,1,1,
Q3A9XT,1,1,
BZQ6ZY,1,1,
HXZMMC,1,1,
9TY7LG,1,1,
3KW3LT,1,1,
6CQ3VY,1,1,
3UAGBJ,1,1,
F818E2,1,1,
Z6JPSD,1,1,
28PUR1,1,1,
1U4AXS,1,1,
3TEWY3,1,1,
51G43E,1,1,
VYFBHQ,1,1,
12JYV9,1,1,
ZB38VJ,1,1,
YGERAV,1,1,
1GAF8L,1,1,
PDT31Y,1,1,
79E58E,1,1,
M7QUMS,1,1,
BS1GWR,1,1,
UFYAWM,1,1,
NRWLCY,1,1,
HUGVA6,1,1,
QQF1BX,1,1,
UFKZW4,1,1,
DFSYFW,1,1,
4X1R4Y,1,1,
GQD1Y1,1,1,
E1VDLQ,1,1,
GSPHR9,1,1,
CBJ6TU,1,1,
G9M3CL,1,1,
L7PV42,1,1,
ZWXVEK,1,1,
APZCK1,1,1,
UFRUWL,1,1,
7PHFPR,1,1,
81ZDC7,1,1,
QRPKLG,1,1,
WF7674,1,1,
TPKD5E,1,1,
CAEALT,1,1,
3UGQKF,1,1,
9ZDNB3,1,1,
L1JN7W,1,1,
6AUG3S,1,1,
QCRXTK,1,1,
X8SDRQ,1,1,
CRW4NX,1,1,
NNFJDR,1,1,
N76GVG,1,1,
NTF33T,1,1,
HMP5FL,1,1,
3W2ANF,1,1,
MN23WK,1,1,
B2A1DQ,1,1,
M8VHMD,1,1,
FVJSCH,1,1,
FKACLE,1,1,
U8J6GN,1,1,
YWRGAT,1,1,
YWET94,1,1,
T27F1T,1,1,
VWZ5JG,1,1,
RJ51S8,1,1,
W2899N,1,1,
WNFMAL,1,1,
2EUUP1,1,1,
SV5VYZ,1,1,
SS6KRG,1,1,
KRY4W9,1,1,
KC9KCZ,1,1,
GCWT6W,1,1,
3KTM47,1,1,
YJ1USM,1,1,
45L35Q,1,1,
XFQC4Y,1,1,
E22CJ6,1,1,
2USV6R,1,1,
JT7CYC,1,1,
PU89HP,1,1,
ZG345S,1,1,
GDJSLL,1,1,
EA179Z,1,1,
U7HERU,1,1,
T59XBX,1,1,
16K85P,1,1,
2V2F56,1,1,
PVA3UX,1,1,
227DAU,1,1,
6541GQ,1,1,
PMA7T8,1,1,
ECWPXL,1,1,
WE97J1,1,1,
5SXKNA,1,1,
FS561E,1,1,
